"pl_category","sk_category"
"Opony > Szosa","Pneumatiky > Cestné pneumatiky"
"Układ hamulcowy > Klocki i szczęki hamulcowe > Klocki hamulcowe","Brzdový systém > Brzdové doštičky a čeľuste > Brzdové doštičky"
"Filtry > Filtry powietrza","Filtre > Filtry powietrza"
"Układ napędowy > Zębatki tył > Stalowe","Pohon > Zębatki tył > Stalowe"
"Układ napędowy > Zębatki przód","Pohon > Zębatki przód"
"Układ napędowy > Zestawy kompletne","Pohon > Zestawy kompletne"
"Opony > Skuter","Pneumatiky > Skútrové pneumatiky"
"Silnik > Uszczelki i uszczelniacze > Komplet uszczelek top end > Standard","Motor > Uszczelki i uszczelniacze > Komplet uszczelek top end > Standard"
"Buty motocyklowe > Buty offroad","Moto obuv > Off-road čižmy"
"Odzież i ochraniacze > Odzież offroad > Rękawice offroad","Oblečenie a ochranné vybavenie > Off-road oblečenie > Off-road rukavice"
"Układ elektryczny > Świece i fajki > Świece","Elektroinštalácia > Świece i fajki > Świece"
"Silnik > Uszczelki i uszczelniacze > Pojedyncze uszczelki > Uszczelka pokrywy sprzęgła","Motor > Uszczelki i uszczelniacze > Pojedyncze uszczelki > Uszczelka pokrywy sprzęgła"
"Układ hamulcowy > Zaciski hamulcowe > Komplety naprawcze zacisku","Brzdový systém > Brzdové strmene > Opravné sady brzdového strmeňa"
"Opony > Offroad","Pneumatiky > Off-road pneumatiky"
"Silnik > Tłoki-Pierścienie-Sworznie > Tłoki do silników 2T","Motor > Tłoki-Pierścienie-Sworznie > Tłoki do silników 2T"
"Układ hamulcowy > Tarcze hamulcowe > Przód","Brzdový systém > Brzdové kotúče > Predné"
"Silnik > Tłoki-Pierścienie-Sworznie > Tłoki do silników 4T","Motor > Tłoki-Pierścienie-Sworznie > Tłoki do silników 4T"
"Silnik > Uszczelki i uszczelniacze > Pojedyncze uszczelki > Uszczelki alternatora","Motor > Uszczelki i uszczelniacze > Pojedyncze uszczelki > Uszczelki alternatora"
"Opony > Dual offroad/szosa","Pneumatiky > Dual-sport pneumatiky"
"Nadwozie > Linki > Linki gazu","Karoséria a rám > Linki > Linki gazu"
"Nadwozie > Linki > Linki sprzęgła","Karoséria a rám > Linki > Linki sprzęgła"
"Nadwozie > Lusterka > Wzór oryginału","Karoséria a rám > Lusterka > Wzór oryginału"
"Układ paliwowy > Zestawy naprawcze i części gaźników > Zestawy naprawcze gaźnika","Palivový systém > Zestawy naprawcze i części gaźników > Zestawy naprawcze gaźnika"
"Kaski i gogle > Integralne","Prilby a okuliare > Integrálne prilby"
"Kaski i gogle > Crossowe","Prilby a okuliare > Motokrosové prilby"
"Układ elektryczny > Regulatory napięcia","Elektroinštalácia > Regulatory napięcia"
"Odzież i ochraniacze > Odzież offroad > Koszulka offroad","Oblečenie a ochranné vybavenie > Off-road oblečenie > Off-road dresy"
"Nadwozie > Rolgazy i manetki > Manetki > Off road","Karoséria a rám > Rolgazy i manetki > Manetki > Off road"
"Zawieszenie i układ kierowniczy > Przód > Uszczelniacze zawieszenia > Olejowe","Odpruženie a riadenie > Predné > Uszczelniacze zawieszenia > Olejowe"
"Układ hamulcowy > Tarcze hamulcowe > Tył","Brzdový systém > Brzdové kotúče > Zadné"
"Filtry > Filtry oleju","Filtre > Filtry oleju"
"Kaski i gogle > Części do kasków","Prilby a okuliare > Diely k prilbám"
"Zawieszenie i układ kierowniczy > Łożyska kół > Łożyska kół przód","Odpruženie a riadenie > Łożyska kół > Łożyska kół przód"
"Silnik > Sprzęgło > Tarcze sprzęgłowe","Motor > Sprzęgło > Tarcze sprzęgłowe"
"Kaski i gogle > Szczękowe","Prilby a okuliare > Výklopné prilby"
"Kaski i gogle > Otwarte JET","Prilby a okuliare > Otvorené prilby JET"
"Oleje i chemia > Chemia i środki pielęgnacyjne","Oleje a chémia > Chemia i środki pielęgnacyjne"
"Odzież i ochraniacze > Odzież offroad > Spodnie offroad","Oblečenie a ochranné vybavenie > Off-road oblečenie > Off-road nohavice"
"Zawieszenie i układ kierowniczy > Łożyska kół > Łożyska kół tył","Odpruženie a riadenie > Łożyska kół > Łożyska kół tył"
"Silnik > Rozrząd > Łańcuchy rozrządu","Motor > Rozrząd > Łańcuchy rozrządu"
"Odzież i ochraniacze > Odzież codzienna > T-Shirt","Oblečenie a ochranné vybavenie > Voľnočasové oblečenie > T-Shirt"
"Silnik > Płytki zaworowe > Średnica 7,48mm","Motor > Płytki zaworowe > Średnica 7,48mm"
"Silnik > Uszczelki i uszczelniacze > Pojedyncze uszczelki > Uszczelniacze silnikowe","Motor > Uszczelki i uszczelniacze > Pojedyncze uszczelki > Uszczelniacze silnikowe"
"Nadwozie > Dźwignie sprzęgła i hamulca > Dźwignie sprzęgła > Standard","Karoséria a rám > Dźwignie sprzęgła i hamulca > Dźwignie sprzęgła > Standard"
"Oleje i chemia > Oleje silnikowe 4T > Motocykle i quady","Oleje a chémia > Oleje silnikowe 4T > Motocykle i quady"
